ID_outbreak,OCV_before_1,OCV_before_2,OCV_before_3,OCV_during,OCV_after_1,spatial_scale,Num_doses,Target_pop,Start_date
AFR::ZMB::Lusaka-2017-11-27-2018-04-22,FALSE,FALSE,FALSE,TRUE,FALSE,smaller,1317925,715256,1/10/18
AFR::ZMB::Lusaka::Lusaka-2017-11-06-2018-04-08,FALSE,FALSE,FALSE,TRUE,FALSE,same,1317925,715256,1/10/18
AFR::ZMB::Lusaka-2017-11-27-2018-04-22,FALSE,FALSE,FALSE,TRUE,FALSE,smaller,1422478,715256,2/5/18
AFR::ZMB::Lusaka::Lusaka-2017-11-06-2018-04-08,FALSE,FALSE,FALSE,TRUE,FALSE,same,1422478,715256,2/5/18
AFR::COD::Nord-Kivu::Goma Health District-2019-06-24-2020-05-10,FALSE,FALSE,FALSE,TRUE,FALSE,same,113021,112612,1/15/20
AFR::COD::Nord-Kivu::Karisimbi Health District-2019-05-20-2020-05-31,FALSE,FALSE,FALSE,TRUE,FALSE,same,104408,117952,1/15/20
AFR::COD::Nord-Kivu::Nyiragongo Health District-2019-07-15-2020-03-22,FALSE,FALSE,FALSE,TRUE,FALSE,same,150848,128657,1/15/20
AFR::COD::Nord-Kivu::Kibua Health District-2019-10-07-2020-05-31,FALSE,FALSE,FALSE,TRUE,FALSE,same,19479,20095,1/17/20
AFR::COD::Nord-Kivu::Binza Health District-2019-03-04-2019-06-16,FALSE,FALSE,FALSE,TRUE,FALSE,same,81141,89035,5/28/19
AFR::COD::Nord-Kivu::Karisimbi Health District-2019-05-20-2020-05-31,FALSE,FALSE,FALSE,TRUE,FALSE,same,317375,328117,5/28/19
AFR::COD::Nord-Kivu::Goma Health District-2019-06-24-2020-05-10,FALSE,FALSE,FALSE,TRUE,FALSE,same,110172,97547,10/30/19
AFR::COD::Nord-Kivu::Karisimbi Health District-2019-05-20-2020-05-31,FALSE,FALSE,FALSE,TRUE,FALSE,same,305028,328117,10/30/19
AFR::COD::Lomami::Ngandajika Health District-2018-10-22-2019-02-10,FALSE,FALSE,FALSE,TRUE,FALSE,same,57961,58372,12/13/18
AFR::COD::Lomami::Mulumba Health District-2018-09-10-2019-03-03,FALSE,FALSE,FALSE,TRUE,FALSE,same,46230,46440,12/13/18
AFR::COD::Sankuru::Lusambo Health District-2018-07-30-2019-03-03,FALSE,FALSE,FALSE,TRUE,FALSE,same,68353,65541,12/13/18
AFR::COD::Sankuru::Bena Dibele Health District-2018-10-01-2018-12-30,FALSE,FALSE,FALSE,TRUE,FALSE,same,91573,89683,12/13/18
AFR::SSD::Kapoeta::Kapoeta North-2017-05-29-2017-08-06,FALSE,FALSE,FALSE,TRUE,FALSE,same,73323,141520.09,6/29/17
AFR::SSD::Fangak::Ayod-2017-04-03-2017-07-16,FALSE,FALSE,FALSE,TRUE,FALSE,same,11140,18550,6/20/17
AFR::SSD::Kapoeta::Budi-2017-07-17-2017-11-26,FALSE,FALSE,FALSE,TRUE,FALSE,same,89377,147476,11/18/17
AFR::SSD::Fangak::Ayod-2017-04-03-2017-07-16,FALSE,FALSE,FALSE,TRUE,FALSE,same,19592,,5/9/17
AFR::ZWE::Harare::Budiriro::Budiriro 1-2018-09-03-2018-10-21,FALSE,FALSE,FALSE,TRUE,FALSE,larger,967843,1035435,10/3/18
AFR::ZWE::Harare::Harare-2018-09-03-2018-10-28,FALSE,FALSE,FALSE,TRUE,FALSE,same,967843,1035435,10/3/18
AFR::ZWE::Harare::Highfield::Lusaka-2018-09-03-2018-11-25,FALSE,FALSE,FALSE,TRUE,FALSE,larger,967843,1035435,10/3/18
AFR::ZWE::Harare::Kambuzuma::Kambuzuma2-2018-09-03-2018-11-11,FALSE,FALSE,FALSE,TRUE,FALSE,larger,967843,1035435,10/3/18
AFR::CMR::North::Pitoa Health District-2019-07-15-2019-11-17,FALSE,FALSE,FALSE,TRUE,FALSE,same,36532,22636.9824,8/1/19
AFR::NGA::Bauchi-2018-03-26-2018-07-22,FALSE,FALSE,FALSE,TRUE,FALSE,smaller,605500,617184,5/9/18
AFR::NGA::Bauchi::Bauchi-2018-03-26-2018-07-29,FALSE,FALSE,FALSE,TRUE,FALSE,same,605500,617184,5/9/18
AFR::NGA::Adamawa::Mubi North-2018-05-14-2018-12-09,FALSE,FALSE,FALSE,TRUE,FALSE,same,161600,174434,7/10/18
AFR::NGA::Borno::Jere-2017-08-14-2017-11-26,FALSE,FALSE,FALSE,TRUE,FALSE,same,129451,81600,9/18/17
AFR::NGA::Borno::Monguno-2017-08-28-2017-11-12,FALSE,FALSE,FALSE,TRUE,FALSE,same,129506,,9/18/17
AFR::MWI::Central::Lilongwe-2018-01-15-2018-05-06,FALSE,FALSE,FALSE,TRUE,FALSE,same,348066,114000,4/17/18
AFR::MWI::Northern::Karonga-2017-11-20-2018-04-08,FALSE,FALSE,FALSE,TRUE,FALSE,same,110518,87324,2/19/18
AFR::MWI::Northern::Karonga-2017-11-20-2018-04-08,FALSE,FALSE,FALSE,TRUE,FALSE,same,98018,87324,3/12/18
AFR::MWI::Southern::Zomba-2015-12-28-2016-06-26,FALSE,FALSE,FALSE,TRUE,FALSE,same,28502,26946,2/16/16
AFR::MWI::Southern::Machinga-2016-02-01-2016-07-03,FALSE,FALSE,FALSE,TRUE,FALSE,same,31961,29198,2/16/16
AFR::MWI::Southern::Machinga::TA Kawinga-2015-12-21-2016-03-27,FALSE,FALSE,FALSE,TRUE,FALSE,larger,31961,29198,2/16/16
AFR::MWI::Southern::Zomba-2015-12-28-2016-06-26,FALSE,FALSE,FALSE,TRUE,FALSE,same,34142,26946,3/8/16
AFR::MWI::Southern::Machinga-2016-02-01-2016-07-03,FALSE,FALSE,FALSE,TRUE,FALSE,same,36523,29198,3/8/16
AFR::MWI::Southern::Machinga::TA Kawinga-2015-12-21-2016-03-27,FALSE,FALSE,FALSE,TRUE,FALSE,larger,36523,29198,3/8/16
AFR::MWI::Southern::Nsanje-2015-03-09-2015-05-24,FALSE,FALSE,FALSE,TRUE,FALSE,same,156592,159978,4/4/15
AFR::MWI::Southern::Nsanje-2015-03-09-2015-05-24,FALSE,FALSE,FALSE,TRUE,FALSE,same,108440,159978,4/20/15